sigma,seed,new_exact,orig_exact,new_time,orig_time
0.26,6,False,False,0.00772547721862793,0.025431156158447266
0.26,7,False,False,0.008032560348510742,0.012740612030029297
0.26,8,False,False,0.0080108642578125,0.016391754150390625
0.26,9,False,False,0.008004426956176758,0.01006460189819336
0.26,10,False,False,0.0042572021484375,0.024865150451660156
0.26,11,False,False,0.008088111877441406,0.017764806747436523
0.26,12,False,False,0.007651329040527344,0.026547908782958984
0.26,13,False,False,0.007617473602294922,0.015953779220581055
0.26,14,False,False,0.0046749114990234375,0.007949352264404297
0.26,15,False,False,0.004134416580200195,0.007392168045043945
0.26,16,False,False,0.00391697883605957,0.014160871505737305
0.26,17,False,False,0.008112668991088867,0.009385824203491211
0.26,18,False,False,0.007881402969360352,0.020287752151489258
0.26,19,False,False,0.00890350341796875,0.01636672019958496
0.26,20,False,False,0.004231929779052734,0.02989959716796875
0.26,21,False,False,0.0046062469482421875,0.01778721809387207
0.26,22,False,False,0.004288673400878906,0.014323949813842773
0.26,23,False,False,0.00809788703918457,0.025082826614379883
0.26,24,False,False,0.008234024047851562,0.018691301345825195
0.26,25,False,False,0.007851362228393555,0.025074243545532227
0.26,26,False,False,0.008426189422607422,0.016593217849731445
0.26,27,False,False,0.008037805557250977,0.02371978759765625
0.26,28,False,False,0.008012056350708008,0.012062549591064453
0.26,29,False,False,0.007988929748535156,0.01604175567626953
0.28,0,False,False,0.00473475456237793,0.009328126907348633
0.28,1,False,False,0.007846355438232422,0.016867399215698242
0.28,2,False,False,0.008018255233764648,0.01376962661743164
0.28,3,False,False,0.004141092300415039,0.014346837997436523
0.28,4,False,False,0.0074939727783203125,0.016808509826660156
0.28,5,False,False,0.004806041717529297,0.024813175201416016
0.28,6,False,False,0.0075244903564453125,0.023518800735473633
0.28,7,False,False,0.008368253707885742,0.009548187255859375
0.28,8,False,False,0.003983259201049805,0.009661197662353516
0.28,9,False,False,0.003968715667724609,0.00997018814086914
0.28,10,False,False,0.008064031600952148,0.019237518310546875
0.28,11,False,False,0.007687568664550781,0.01413273811340332
0.28,12,False,False,0.005810976028442383,0.017019271850585938
0.28,13,False,False,0.007734537124633789,0.02531266212463379
0.28,14,False,False,0.006327152252197266,0.016035079956054688
0.28,15,False,False,0.008023738861083984,0.013604879379272461
0.28,16,False,False,0.007817983627319336,0.025922775268554688
0.28,17,False,False,0.004153251647949219,0.013277769088745117
0.28,18,False,False,0.004725456237792969,0.013198375701904297
0.28,19,False,False,0.008591413497924805,0.016930341720581055
0.28,20,False,False,0.0057752132415771484,0.018710851669311523
0.28,21,False,False,0.007550477981567383,0.023296117782592773
0.28,22,False,False,0.008041143417358398,0.01746058464050293
0.28,23,False,False,0.009400367736816406,0.02496027946472168
0.28,24,False,False,0.007575511932373047,0.02549123764038086
0.28,25,False,False,0.004960298538208008,0.021001338958740234
0.28,26,False,False,0.008041143417358398,0.01699042320251465
0.28,27,False,False,0.0044019222259521484,0.014370203018188477
0.28,28,False,False,0.008151531219482422,0.009176254272460938
0.28,29,False,False,0.004098653793334961,0.02512192726135254
0.3,0,False,False,0.008619308471679688,0.016958951950073242
0.3,1,False,False,0.008097410202026367,0.01631021499633789
0.3,2,False,False,0.008667230606079102,0.013513326644897461
0.3,3,False,False,0.008434772491455078,0.01469111442565918
0.3,4,False,False,0.007327079772949219,0.025611162185668945
0.3,5,False,False,0.0075991153717041016,0.020725011825561523
0.3,6,False,False,0.008874177932739258,0.02183079719543457
0.3,7,False,False,0.007742881774902344,0.009545087814331055
0.3,8,False,False,0.007839202880859375,0.013377666473388672
0.3,9,False,False,0.0044400691986083984,0.016417980194091797
0.3,10,False,False,0.008042335510253906,0.026114702224731445
0.3,11,False,False,0.00842905044555664,0.017513275146484375
0.3,12,False,False,0.005948066711425781,0.02723097801208496
0.3,13,False,False,0.005788326263427734,0.02963876724243164
0.3,14,False,False,0.007528543472290039,0.016663312911987305
0.3,15,False,False,0.004631519317626953,0.021740436553955078
0.3,16,False,False,0.0051326751708984375,0.01861262321472168
0.3,17,False,False,0.007891654968261719,0.022984743118286133
0.3,18,False,False,0.008778810501098633,0.020363807678222656
0.3,19,False,False,0.008933782577514648,0.016764163970947266
0.3,20,False,False,0.008642435073852539,0.02719855308532715
0.3,21,False,False,0.007742881774902344,0.028324127197265625
0.3,22,False,False,0.00799703598022461,0.024129629135131836
0.3,23,False,False,0.004269838333129883,0.024610280990600586
0.3,24,False,False,0.00813150405883789,0.02570486068725586
0.3,25,False,False,0.0078277587890625,0.02022266387939453
0.3,26,False,False,0.0041735172271728516,0.016927480697631836
0.3,27,False,False,0.011122703552246094,0.024463891983032227
0.3,28,False,False,0.004795551300048828,0.008218765258789062
0.3,29,False,False,0.009348630905151367,0.023695707321166992
0.32,0,False,False,0.0043604373931884766,0.012018442153930664
0.32,1,False,False,0.007465362548828125,0.016027450561523438
0.32,2,False,False,0.009179115295410156,0.007748126983642578
0.32,3,False,False,0.004331111907958984,0.020814895629882812
0.32,4,False,False,0.004519939422607422,0.02269577980041504
0.32,5,False,False,0.004626035690307617,0.02152395248413086
0.32,6,False,False,0.008585453033447266,0.025435924530029297
0.32,7,False,False,0.007753133773803711,0.016718149185180664
0.32,8,False,False,0.007875919342041016,0.008754730224609375
0.32,9,False,False,0.004572629928588867,0.015245914459228516
0.32,10,False,False,0.004024982452392578,0.03215169906616211
0.32,11,False,False,0.004450321197509766,0.01680755615234375
